"expression","reading","meaning","tags","guid","meaning_vi"
"婉曲","えんきょく","euphemistic, indirect, insinuating","JLPT_1 JLPT","G;:<3(vTfF","uyển ngữ, gián tiếp, bóng gió"
"演出","えんしゅつ","production (erg. play, direction)","JLPT_1 JLPT","wf^,)@RdCb","sản xuất (erg. play, chỉ đạo)"
"エンジニア","エンジニア","engineer","JLPT_1 JLPT","B{mLrpXMY9","kỹ sư"
"演じる","えんじる","to perform, to play (a part), to act","JLPT_1 JLPT","w/:3TeD,r|","biểu diễn, diễn (một phần), hành động"
"演ずる","えんずる","to perform, to play (a part), to act","JLPT_1 JLPT","D7;+x/XKhh","biểu diễn, diễn (một phần), hành động"
"沿線","えんせん","along railway line","JLPT_1 JLPT","ALo8teWhD7","dọc theo tuyến đường sắt"
"縁談","えんだん","marriage proposal","JLPT_1 JLPT","noJgGKIj8x","cầu hôn"
"遠方","えんぽう","long way, distant place","JLPT_1 JLPT","OzC<9.M=Ar","đường xa, nơi xa xôi"
"円満","えんまん","harmony, peace, smoothness","JLPT_1 JLPT","Ct:pLi;{3A","sự hài hòa, hòa bình, êm ả"
"追い込む","おいこむ","to herd, to corner, to drive","JLPT_1 JLPT","AR1qUDM@P)","dồn vào, vào góc, lái xe"
"追い出す","おいだす","to expel, to drive out","JLPT_1 JLPT","riRN3`p,`k","trục xuất, đuổi ra ngoài"
"於いて","おいて","at, in, on","JLPT_1 JLPT","ijyE>WQ}KT","tại, trong, trên"
"老いる","おいる","to age, to grow old","JLPT_1 JLPT","Fq*tJ8V7V$","già đi, già đi"
"応急","おうきゅう","emergency","JLPT_1 JLPT","P7w*v4FZJr","khẩn cấp"
"黄金","おうごん","gold","JLPT_1 JLPT","mYt_k*xkZ.","vàng"
"往診","おうしん","doctor's visit, house call","JLPT_1 JLPT","KYeqnnZ=-9","bác sĩ thăm khám, gọi điện về nhà"
"応募","おうぼ","subscription, application","JLPT_1 JLPT","b[VDDlfAs0","đăng ký, ứng dụng"
"おおい (かん)","おおい (かん)","hey","JLPT_1 JLPT","oI,HaDOI/S","Chào"
"大方","おおかた","almost all, majority","JLPT_1 JLPT","xJaUka+CN:","gần như tất cả, đa số"
"大柄","おおがら","large build, large pattern","JLPT_1 JLPT","GWS,d=cM(:","xây dựng lớn, mô hình lớn"
"おおげさ","おおげさ","grandiose, exaggerated","JLPT_1 JLPT","oddUsiCw^V","hoành tráng, cường điệu"
"大筋","おおすじ","outline, summary","JLPT_1 JLPT","Hs`P|H+T!]","đề cương, tóm tắt"
"大空","おおぞら","heaven, the sky","JLPT_1 JLPT","x&4e(F[|Hd","trời, bầu trời"
"オートマチック","オートマチック","automatic","JLPT_1 JLPT","Ma<]_+LJWL","tự động"
"大幅","おおはば","full width, large scale, drastic","JLPT JLPT_1 MediaMissing","c`*FbFL7!*","toàn chiều rộng, quy mô lớn, quyết liệt"
"おおまかな","おおまかな","rough, approximate","JLPT_1 JLPT","h|xK)[LK#`","thô, gần đúng"
"大水","おおみず","flood","JLPT_1 JLPT","lHnH3YrPE%","lụt"
"公","おおやけ","public","JLPT_1 JLPT","oI.<`;>b`b","công cộng"
"犯す","おかす","to perpetrate, to violate","JLPT_1 JLPT","r}qWP|]B{j","phạm tội, vi phạm"
"侵す","おかす","to invade, to raid, to trespass","JLPT_1 JLPT","JP!&.Z9_)1","xâm chiếm, đột kích, xâm phạm"
"臆病","おくびょう","cowardice, timidity","JLPT_1 JLPT","DR9F4{>w8i","sự hèn nhát, sự rụt rè"
"遅らす","おくらす","to retard, to delay","JLPT_1 JLPT","BxX=0Td:Ra","làm chậm lại, trì hoãn"
"厳か","おごそか","majestic, dignified","JLPT_1 JLPT","k^}q{Z*:ZU","hùng vĩ, trang nghiêm"
"行い","おこない","conduct, behavior, action","JLPT_1 JLPT","EPt}Y|moZw","hành vi, hành vi, hành động"
"おごる (ゆうしょくを～)","おごる (ゆうしょくを～)","to give (someone) a treat","JLPT_1 JLPT","nplO^(LG?d","đãi (ai) một món quà"
"収まる","おさまる","to settle into; to be obtained","JLPT_1 JLPT","blHU8/+m@I","để ổn định cuộc sống; để có được"
"納まる","おさまる","to settle into; to be obtained","JLPT_1 JLPT","cv8FX+R{$0","để ổn định cuộc sống; để có được"
"治まる","おさまる","to be at peace, to calm down","JLPT_1 JLPT","vn/~]L;$eG","để được bình yên, bình tĩnh"
"お産","おさん","(giving) birth","JLPT_1 JLPT","euz]Ka!XAe","(sinh) sinh"
"押し切る","おしきる","to have one's own way","JLPT_1 JLPT","djU<$hJj6~","có cách riêng của mình"
"押し込む","おしこむ","to push into, to crowd into","JLPT_1 JLPT","xrb|Hb|isj","chen vào, dồn vào"
"惜しむ","おしむ","to be frugal, to value, to regret","JLPT_1 JLPT","eSj?}z3f2/","tiết kiệm, quý trọng, hối tiếc"
"押し寄せる","おしよせる","to push aside, to advance on","JLPT_1 JLPT","G6S^.J|&^/","đẩy sang một bên, tiến lên"
"雄","おす","male (animal)","JLPT_1 JLPT","gZ*7YqB0w(","con đực (động vật)"
"御世辞","おせじ","flattery, compliment","JLPT_1 JLPT","d$tF`<~=wO","nịnh nọt, khen ngợi"
"襲う","おそう","to attack","JLPT_1 JLPT","d*HJIF;zrC","tấn công"
"遅くとも","おそくとも","at the latest","JLPT_1 JLPT","p,08OPe)d%","muộn nhất"
"恐れ","おそれ","fear, horror","JLPT_1 JLPT","mG1{:BxE;","sự sợ hãi, sự kinh hoàng"
"恐れ入る","おそれいる","to be filled with awe, to feel small","JLPT_1 JLPT","o7$@i&/e=j","tràn ngập sự sợ hãi, cảm thấy mình nhỏ bé"
"おだてる","おだてる","to flatter","JLPT_1 JLPT","c}qANB`J7,","tâng bốc"
"落ち込む","おちこむ","to get depressed","JLPT_1 Genki_Ln.16 JLPT Genki","B0Aq~FM[^o","bị trầm cảm"
"落ち着き","おちつき","calm, composure","JLPT_1 JLPT","k)L1,/cgqd","bình tĩnh, điềm tĩnh"
"落葉","おちば","fallen leaves","JLPT_1 JLPT","qPS6$v<zNn","lá rụng"
"乙","おつ","2nd in rank","JLPT_1 JLPT","CTIZFIH,kM","đứng thứ 2"
"お使い","おつかい","errand","JLPT_1 JLPT","Q3Uu~eV;,,","việc vặt"
"おっかない","おっかない","frightening, scary","JLPT_1 JLPT","r<$W[mdg(3","đáng sợ, đáng sợ"
"お手上げ","おてあげ","given in, given up hope","JLPT_1 JLPT","J({SY<_/!4","đầu hàng, từ bỏ hy vọng"
"おどおど","おどおど","coweringly, hesitantly","JLPT_1 JLPT","hFdj&!1iUO","một cách rụt rè, ngập ngừng"
"脅す","おどす","to threaten, to menace","JLPT_1 JLPT","l9J?^6gNw8","đe dọa, hăm dọa"
"訪れる","おとずれる","to visit","JLPT_1 JLPT","M;`!*}::|V","đến thăm"
"お供","おとも","attendant, companion","JLPT_1 JLPT","x[kh8D~cRx","người phục vụ, người bạn đồng hành"
"衰える","おとろえる","to become weak, to decline","JLPT_1 JLPT","pxXWt`7[Xh","trở nên yếu đi, suy sụp"
"同い年","おないどし","of the same age","JLPT_1 JLPT","uOL4]ka~4C","cùng tuổi"
"自ずから","おのずから","naturally, as a matter of course","JLPT_1 JLPT","CsPmT^E4si","một cách tự nhiên, như một lẽ đương nhiên"
"怯える","おびえる","to become frightened","JLPT_1 JLPT","Bil>aIK.P>","trở nên sợ hãi"
"おびただしい","おびただしい","abundantly, innumerably","JLPT_1 JLPT","F0E@v8v<tK","dồi dào, vô số"
"脅かす","おびやかす","to threaten, to coerce","JLPT_1 JLPT","y}AqB/U_jH","đe dọa, ép buộc"
"帯びる","おびる","to bear, to carry, to be entrusted","JLPT_1 JLPT","zXZ(?*QD)1","gánh, mang, được giao phó"
"お袋","おふくろ","mother","JLPT_1 JLPT","Iky=(#jNrr","mẹ"
"覚え","おぼえ","memory, sense, experience","JLPT_1 JLPT","z/W-oJ8vaW","trí nhớ, giác quan, kinh nghiệm"
"おまけ","おまけ","a discount; something additional","JLPT_1 JLPT","rsBcP;b`Jp","giảm giá; một cái gì đó bổ sung"
"お宮","おみや","Shinto shrine","JLPT_1 JLPT","COvUCQv?BW","Đền thờ Thần đạo"
"おむつ","おむつ","diaper, nappy","JLPT_1 JLPT","FRkuxmL~/i","tã lót, tã lót"
"思い付き","おもいつき","plan, idea, suggestion","JLPT_1 JLPT","gk=p@=>B|;","kế hoạch, ý tưởng, đề nghị"
"趣","おもむき","flavor, appearance, quaint","JLPT_1 JLPT","o+otz^p(oN","hương vị, vẻ ngoài, kỳ lạ"
"赴く","おもむく","to go, to proceed","JLPT_1 JLPT","E5WffQ+ViL","đi, tiếp tục"
"重んじる","おもんじる","to respect, to honor, to esteem, to prize","JLPT_1 JLPT","gj_$ok,;mR","tôn trọng, tôn vinh, quý trọng, khen thưởng"
"重んずる","おもんずる","to honor, to respect, to value","JLPT_1 JLPT","c;eXv;e7cc","tôn vinh, tôn trọng, đánh giá cao"
"親父","おやじ","one's father, old man, one's boss","JLPT_1 JLPT","g;f)J>kju#","cha của một người, ông già, ông chủ của một người"
"及び","および","and, as well as","JLPT_1 JLPT","F5z-<*3Tg,","và, cũng như"
"及ぶ","およぶ","to reach, to extend","JLPT_1 JLPT","Lj7$<D<:Dd","để đạt được, để mở rộng"
"折","おり","chance, occasion","JLPT_1 JLPT","y[AaTw+T{(","cơ hội, dịp"
"檻","おり","cage, pen, jail cell","JLPT_1 JLPT","Lj@q6`R`I<","lồng, chuồng, nhà tù"
"オリエンテーション","オリエンテーション","orientation","JLPT_1 JLPT","i;fk@T:&ys","định hướng"
"折り返す","おりかえす","to turn up, to fold back","JLPT_1 JLPT","x-(77`TIyH","lật lên, gấp lại"
"織物","おりもの","textile, fabric","JLPT_1 JLPT","@6F9JKGsN","dệt, vải"
"俺","おれ","I (ego) (boastful first-person pronoun)","JLPT_1 JLPT","M3v%b}<>}t","Tôi (cái tôi) (đại từ nhân xưng ngôi thứ nhất khoe khoang)"
"愚か","おろか","foolish, stupid","JLPT_1 JLPT","Ch>U~}L@[9","ngu ngốc, ngu ngốc"
"おろそか","おろそか","neglect, negligence, carelessness","JLPT_1 JLPT","H$%#VMqb~n","sự lơ là, sự lơ là, sự cẩu thả"
"おんぶ","おんぶ","carrying on one's back (erg. Baby)","JLPT_1 JLPT","w[CU60-p%`","cõng trên lưng (erg. Baby)"
"オンライン","オンライン","on-line","JLPT_1 JLPT","i=qSrR2s#(","trực tuyến"
"温和","おんわ","gentle, mild, moderate","JLPT_1 JLPT","II+hgA8I:B","nhẹ nhàng, nhẹ nhàng, vừa phải"
"我","が～","ego","JLPT_1 JLPT","KEYq:ht}?d","cái tôi"
"カーペット","カーペット","carpet","JLPT_1 JLPT","fn]9l!yDf>","thảm"
"～界","～かい","world, circle, kingdom","JLPT_1 JLPT","d]il$5=Qs$","thế giới, vòng tròn, vương quốc"
"～街","～がい","town","JLPT_1 JLPT","PH:pbBSE|j","thị trấn"
"改悪","かいあく","deterioration, changing for the worse","JLPT_1 JLPT","/C5*Xn=Cv","sự suy thoái, thay đổi theo hướng tồi tệ hơn"
"海運","かいうん","marine transportation","JLPT_1 JLPT","CDcOa:,]6U","vận tải biển"
"外貨","がいか","foreign money","JLPT_1 JLPT","P{MzU_0f=F","tiền nước ngoài"
"改革","かいかく","reform, reformation, innovation","JLPT_1 JLPT","nxg,|fRPK9","cải cách, cải cách, đổi mới"
"貝殻","かいがら","shell","JLPT_1 JLPT","rr4Z^$`(_`","vỏ bọc"
"外観","がいかん","appearance, exterior, facade","JLPT_1 JLPT","JF[`}jk]g#","bề ngoài, ngoại thất, mặt tiền"
"階級","かいきゅう","class, rank, grade","JLPT_1 JLPT","G#*h9O@`+|","lớp, cấp bậc, cấp bậc"
"海峡","かいきょう","channel","JLPT_1 JLPT","jy18h1NAzv","kênh"
"会見","かいけん","interview, conference","JLPT_1 JLPT","umW!}@pgti","phỏng vấn, hội nghị"
"介護","かいご","nursing","JLPT_1 JLPT","kEe>~$Z:bi","điều dưỡng"
"開催","かいさい","holding a meeting, open an exhibition","JLPT_1 JLPT","%(;Yq~m~L","tổ chức hội nghị, khai mạc triển lãm"
"回収","かいしゅう","collection, recovery","JLPT_1 JLPT","j[pPaa[c]=","thu thập, phục hồi"
"改修","かいしゅう","repair, improvement","JLPT_1 JLPT","QiUw+PPipY","sửa chữa, cải tiến"
"怪獣","かいじゅう","monster","JLPT_1 JLPT","r8Gl`sM7J8","quái vật"
"解除","かいじょ","cancellation, release, cancel","JLPT_1 JLPT","Mgd/-R9vWQ","hủy bỏ, phát hành, hủy bỏ"
"外相","がいしょう","Foreign Minister","JLPT_1 JLPT","yrLi>.nXho","Bộ trưởng Ngoại giao"
"害する","がいする","to harm, to offend","JLPT_1 JLPT","Hi`w1ksG:H","làm tổn hại, xúc phạm"
"概説","がいせつ","general statement, outline","JLPT_1 JLPT","nT]AQT3`Q*","tuyên bố chung, đề cương"
"回送","かいそう","forwarding","JLPT_1 JLPT","L?pD4!Fpg8","chuyển tiếp"
"階層","かいそう","class, level, stratum, hierarchy","JLPT_1 JLPT","H^MD?o[__x","lớp, cấp độ, tầng lớp, thứ bậc"
"開拓","かいたく","cultivation, pioneer","JLPT_1 JLPT","FypVZrRtNH","trồng trọt, tiên phong"
"会談","かいだん","conversation, interview","JLPT_1 JLPT","uN=.m/8Z~3","cuộc trò chuyện, phỏng vấn"
"改定","かいてい","reform","JLPT_1 JLPT","g6THSZ_v^<","cải cách"
"改訂","かいてい","revision","JLPT_1 JLPT","v0XHWw$0B0","ôn tập"
"ガイド","ガイド","guide","JLPT_1 JLPT","CvJbP*(I@%","hướng dẫn"
"街道","かいどう","highway","JLPT_1 JLPT","N$n&)AJVWA","đường cao tốc"
"該当","がいとう","corresponding, answering to, coming under","JLPT_1 JLPT","nkZ}`ld7f?","tương ứng, trả lời, đi theo"
"街頭","がいとう","in the street","JLPT_1 JLPT","tQu}Nu#P].","trên đường phố"
"ガイドブック","ガイドブック","guidebook","JLPT_1 JLPT","Eo9u]7eh((","sách hướng dẫn"
"介入","かいにゅう","intervention","JLPT_1 JLPT","pZJnTW/Kh#","sự can thiệp"
"概念","がいねん","general idea, concept, notion","JLPT_1 JLPT","E|SNJ<R/iJ","ý tưởng chung, khái niệm, khái niệm"
"開発","かいはつ","development, exploitation","JLPT_1 JLPT","Kw[.UTN4^R","phát triển, khai thác"
"海抜","かいばつ","height above sea level","JLPT_1 JLPT","jLVxr@vo2y","độ cao so với mực nước biển"
"介抱","かいほう","nursing, looking after","JLPT_1 JLPT","j$OYFEbGs|","điều dưỡng, chăm sóc"
"解剖","かいぼう","dissection, autopsy","JLPT_1 JLPT","iL)PO8n0NO","mổ xẻ, khám nghiệm tử thi"
"外来","がいらい","(abbr.) imported, outpatient clinic","JLPT_1 JLPT","~V$m/9|o}","(abbr.) nhập khẩu, phòng khám ngoại trú"
"回覧","かいらん","circulation","JLPT_1 JLPT","E}}4:_!82P","sự lưu thông"
"概略","がいりゃく","outline, summary, gist","JLPT_1 JLPT","N)qY<nUP|*","đề cương, tóm tắt, ý chính"
"海流","かいりゅう","ocean current","JLPT_1 JLPT","xa/eyqaPDe","dòng hải lưu"
"改良","かいりょう","improvement, reform","JLPT_1 JLPT","v?jE,5xyr`","cải tiến, cải cách"
"回路","かいろ","circuit (electric)","JLPT_1 JLPT","fdIy<8[a*F","mạch (điện)"
"海路","かいろ","sea route","JLPT_1 JLPT","t536M9u42&","tuyến đường biển"
"省みる","かえりみる","to reflect","JLPT_1 JLPT","taa>Gm>Nxx","để phản ánh"
"顧みる","かえりみる","to look back, to turn around, to review","JLPT_1 JLPT","ho_c78W;*R","nhìn lại, quay lại, xem lại"
"顔付き","かおつき","facial expression","JLPT_1 JLPT","k<|EsPF(U~","nét mặt"
"課外","かがい","extracurricular","JLPT_1 JLPT","ImdEjfLr)>","ngoại khóa"
"掲げる","かかげる","to hoist, to fly (a sail), to float (a flag)","JLPT_1 JLPT","Q[6r`gY-ir","kéo lên, tung bay (cánh buồm), thả nổi (cờ)"
"かかと","かかと","shoe heel","JLPT_1 JLPT","F`djJ$owDP","gót giày"
"書き取る","かきとる","to write down, to take dictation","JLPT_1 JLPT","OeW)s:B>?h","viết ra, ghi chép"
"掻き回す","かきまわす","to stir up, to churn, to disturb","JLPT_1 JLPT","wp9#,9/+Z4","khuấy động, khuấy động, làm xáo trộn"
"かく (はじを)","かく (はじを)","to humiliate oneself","JLPT_1 JLPT","h*j3Yxxcj{","tự hạ nhục mình"
"～画","～かく","~ strokes","JLPT_1 JLPT","G#l-jHUMTG","~ nét"
"学芸","がくげい","arts and sciences, liberal arts","JLPT_1 JLPT","xM-CyLgdV}","nghệ thuật và khoa học, nghệ thuật tự do"
"格差","かくさ","difference, disparity","JLPT_1 JLPT","zvfu/3%U&J","sự khác biệt, sự chênh lệch"
"拡散","かくさん","scattering, diffusion","JLPT_1 JLPT","y__Cg;3rb:","tán xạ, khuếch tán"
"学士","がくし","university graduate","JLPT_1 JLPT","Pq<3#+rCX)","tốt nghiệp đại học"
"各種","かくしゅ","every kind, all sorts","JLPT_1 JLPT","Jb^Vb%.N$q","đủ loại, đủ loại"
"隔週","かくしゅう","every other week","JLPT_1 JLPT","QbwTj%&$c)","mỗi tuần"
"確信","かくしん","conviction, confidence","JLPT_1 JLPT","zEL{[Q8QNW","niềm tin, sự tự tin"
"革新","かくしん","reform, innovation","JLPT_1 JLPT","ti4?AE7Yh@","cải cách, đổi mới"
"学説","がくせつ","theory","JLPT_1 JLPT","GlxSp@=1Ze","lý thuyết"
"確定","かくてい","fixed, decision","JLPT_1 JLPT","e18p,U0K#7","cố định, quyết định"
"カクテル","カクテル","cocktail","JLPT_1 JLPT","E($,YP#I6d","cocktail"
"獲得","かくとく","acquisition, possession","JLPT_1 JLPT","B^,*K>>n_|","mua lại, sở hữu"
"楽譜","がくふ","score (music, sheet music)","JLPT_1 JLPT","qMA}9*EjCn","bản nhạc (âm nhạc, bản nhạc)"
"確保","かくほ","guarantee, insure, secure","JLPT_1 JLPT","uY<*K%.TG@","bảo đảm, đảm bảo, đảm bảo"
"革命","かくめい","revolution","JLPT_1 JLPT","O;mF68dq6Q","cuộc cách mạng"
"確立","かくりつ","establishment","JLPT_1 JLPT","m(/`$&[BF3","thành lập"
"賭","かけ","betting, gambling, a gamble","JLPT_1 JLPT","s:YO~5k/sp","cá cược, cờ bạc, canh bạc"
"掛～","かけ～","credit","JLPT_1 JLPT","c#>^nQjhVy","tín dụng"
"～掛け","～かけ","rack, hanger","JLPT_1 JLPT","Lr[e?zZ5,<","giá, móc treo"
"崖","がけ","cliff","JLPT_1 JLPT","lH2H25www/","vách đá"
"駆け足","かけあし","running fast, double time","JLPT_1 JLPT","Nd5EP#88A|","chạy nhanh, gấp đôi thời gian"
"家計","かけい","household economy, family finances","JLPT_1 JLPT","vh}KbR&s=#","kinh tế hộ gia đình, tài chính gia đình"
"駆けっこ","かけっこ","(foot) race","JLPT_1 JLPT","A8,h2([S[A","(chân) cuộc đua"
"加工","かこう","manufacturing, processing, treatment","JLPT_1 JLPT","E^@%K2YN]n","sản xuất, chế biến, xử lý"
"化合","かごう","chemical combination","JLPT_1 JLPT","my>j<9l(Hz","sự kết hợp hóa học"
"かさばる","かさばる","to be bulky","JLPT_1 JLPT","nuG,E:/*HK","trở nên cồng kềnh"
"かさむ","かさむ","to pile up, to increase","JLPT_1 JLPT","D*tj!&=/|(","chồng chất lên, tăng lên"
